source_page,category,item_name,description,price
home,description,,"Indulge yourself at The Hickory, the woody dine and wine.",
home,description,,The Hickory Restaurant Presents Cocktail O'clock.,
home,description,,Be sure to indulge yourself in wonderful Chef's Special recipes.,
home,description,,"The Hickory tree: hard, sturdy, tough, steady growing and durable. The Hickory tree story tells tales of our forefathers using it for wagon wheels and hand tools due to its robustness. The Hickory tree was used for the construction of the early aircrafts and would tell a tale of competence, adventure and a spirit of fortitude.",
home,description,,The Hickory restaurant and lounge represents all of the past tales of service and quality of the Hickory tree and brings it into fruition of our service to our clients.,
home,description,,Welcome to the woody wine and dine.,
food,Food,,Cheese Croquettes (V) 26 Mixed cheese cubes coated in breadcrumbs and lightly fried,
food,Food,,Mixed cheese cubes coated in breadcrumbs and lightly fried,
food,Food,,"Avocado Prawns 36 Base of lettuce, prawns and avocado in cocktail sauce",
food,Food,,"Base of lettuce, prawns and avocado in cocktail sauce",
food,Food,,"Chilli-garlic Prawns 36 Fresh, Zanzibar shrimp, pan-fried with chilli and garlic, finished with lemon and herbs on a bed of toasted bread",
food,Food,,"Fresh, Zanzibar shrimp, pan-fried with chilli and garlic, finished with lemon and herbs on a bed of toasted bread",
food,Food,,"Cashew Chicken 34 Juicy, aromatic cubes of stir-fried chicken fillet combined with roasted cashew nuts in a flavourful, brown-garlic sauce made from chicken stock and fresh mushrooms",
food,Food,,"Juicy, aromatic cubes of stir-fried chicken fillet combined with roasted cashew nuts in a flavourful, brown-garlic sauce made from chicken stock and fresh mushrooms",
food,Food,,"Barbeque Beef Meatballs 35 Well-seasoned, lean, ground beef with garlic, coriander and onions, finely baked and coated in a thick and sweet barbeque sauce, topped with fresh coriander and served with a garden-fresh salad",
food,Food,,"Well-seasoned, lean, ground beef with garlic, coriander and onions, finely baked and coated in a thick and sweet barbeque sauce, topped with fresh coriander and served with a garden-fresh salad",
food,Food,,"Pumpkin Soup (V) 25 Freshly roasted, spiced pumpkin soup combined with celery sticks, butter, garlic and coriander, served with deep-fried croutons",
food,Food,,"Freshly roasted, spiced pumpkin soup combined with celery sticks, butter, garlic and coriander, served with deep-fried croutons",
food,Food,,"Mongolian Beef Strips 34 Thin slices of flank steak of beef tossed in a Mongolian sauce and sweet peppers, served with a garden-fresh salad",
food,Food,,"Thin slices of flank steak of beef tossed in a Mongolian sauce and sweet peppers, served with a garden-fresh salad",
food,Food,,"Hickory Barbeque Chicken Wings 35 Buffalo chicken wings marinated in Asian condiments and finished with a spicy, barbeque glaze",
food,Food,,"Buffalo chicken wings marinated in Asian condiments and finished with a spicy, barbeque glaze",
food,Food,,Frittura Di Calamari 28 Deep-fried calamari served with tartar sauce,
food,Food,,Deep-fried calamari served with tartar sauce,
food,Food,,"Tempura Prawns 36 Deep-fried, butter-coated prawns with a honey -mayonnaise glaze",
food,Food,,"Deep-fried, butter-coated prawns with a honey -mayonnaise glaze",
food,Food,,"Bacon-wrapped Steak Bites 30 Well-seasoned cubes of beef fillet, wrapped in bacon and baked to perfection, served with a garden-fresh salad",
food,Food,,"Well-seasoned cubes of beef fillet, wrapped in bacon and baked to perfection, served with a garden-fresh salad",
food,Food,,"Fresh Soup of The Day 23 (Please, do ask your server)",
food,Food,,"(Please, do ask your server)",
food,Food,,"*Bisquick Chicken Tenders* 32 Crispy and tender chicken breast strips coated in breadcrumbs and deep-fried till golden-brown, served with sweet-chilli sauce and a garden-fresh salad",
food,Food,,"Crispy and tender chicken breast strips coated in breadcrumbs and deep-fried till golden-brown, served with sweet-chilli sauce and a garden-fresh salad",
food,Food,,"*Wingstop Garlic-parmesan Wings* 35 Scrumptious chicken wings, cooked to perfection with garlic and drizzled in Parmesan sauce",
food,Food,,"Scrumptious chicken wings, cooked to perfection with garlic and drizzled in Parmesan sauce",
food,Food,,"Hickory Organic Salad (V) 30 English cucumber, sweet bell peppers, black olives, tomatoes, lettuce, carrots and onions served with lemon and vinaigrette dressing",
food,Food,,"English cucumber, sweet bell peppers, black olives, tomatoes, lettuce, carrots and onions served with lemon and vinaigrette dressing",
food,Food,,"Greek Salad (V) 38 Lettuce, onions, cucumber, green peppers, tomatoes, black olives and feta cheese",
food,Food,,"Lettuce, onions, cucumber, green peppers, tomatoes, black olives and feta cheese",
food,Food,,"Chicken Caesar Salad 40 Fresh romaine lettuce, anchovies, croutons, grilled chicken breast and Caesar dressing",
food,Food,,"Fresh romaine lettuce, anchovies, croutons, grilled chicken breast and Caesar dressing",
food,Food,,"Mixed Sea Food Salad 49 Salmon, shrimp and calamari, sleeping on a bed of soft lettuce and topped with cherry tomatoes and cucumber",
food,Food,,"Salmon, shrimp and calamari, sleeping on a bed of soft lettuce and topped with cherry tomatoes and cucumber",
food,Food,,"Cobb Salad 44 Juicy, grilled chicken breast, avocado, tomatoes, eggs, bacon and cheddar cheese with shallot vinaigrette",
food,Food,,"Juicy, grilled chicken breast, avocado, tomatoes, eggs, bacon and cheddar cheese with shallot vinaigrette",
food,Food,,"Prawn, Mango and Avocado Salad 45 Fresh lettuce, tomatoes and mango topped with Zanzibar, herbed prawns, served with cocktail dressing",
food,Food,,"Fresh lettuce, tomatoes and mango topped with Zanzibar, herbed prawns, served with cocktail dressing",
food,Food,,"Thai Coconut Curry Combination of fresh cilantro leaves, basil leaves, coriander and coconut milk with a choice of either: • Steamed vegetables - 40 • Beef fillet - 47 • Chicken fillet - 49 • Tilapia fillet - 49 • Salmon fillet - 62",
food,Food,,"Combination of fresh cilantro leaves, basil leaves, coriander and coconut milk with a choice of either: • Steamed vegetables - 40 • Beef fillet - 47 • Chicken fillet - 49 • Tilapia fillet - 49 • Salmon fillet - 62",
food,Food,,"Thai Green Curry Combination of fresh cilantro leaves, lemon grass, galangal, chillies and kaffir lime with a choice of either: • Steamed vegetables - 40 • Beef fillet - 47 • Chicken fillet - 49 • Tilapia fillet - 49 • Salmon fillet - 62",
food,Food,,"Combination of fresh cilantro leaves, lemon grass, galangal, chillies and kaffir lime with a choice of either: • Steamed vegetables - 40 • Beef fillet - 47 • Chicken fillet - 49 • Tilapia fillet - 49 • Salmon fillet - 62",
food,Food,,"Thai Chilli-Basil Curry Combination of garlic, sweet peppers, onions and basil leaves, served with a choice of either: • Steamed vegetables - 40 • Beef fillet - 47 • Chicken fillet - 49 • Tilapia fillet - 49 • Salmon fillet - 62",
food,Food,,"Combination of garlic, sweet peppers, onions and basil leaves, served with a choice of either: • Steamed vegetables - 40 • Beef fillet - 47 • Chicken fillet - 49 • Tilapia fillet - 49 • Salmon fillet - 62",
food,Food,,"Goat Curry 50 Boneless cubes of goat leg cooked in a traditional, curry sauce",
food,Food,,"Boneless cubes of goat leg cooked in a traditional, curry sauce",
food,Food,,(Served with steamed rice),
food,Food,,"Classic Chicken Burger 49 Grilled, free-range chicken patty topped with lettuce, cheese, onions, tomatoes and mayonnaise",
food,Food,,"Grilled, free-range chicken patty topped with lettuce, cheese, onions, tomatoes and mayonnaise",
food,Food,,"Hickory Inspirational Beef Burger 49 Mouth-watering, well-spiced, grilled beef patty topped with lettuce, cheese, onions, tomatoes and mayonnaise",
food,Food,,"Mouth-watering, well-spiced, grilled beef patty topped with lettuce, cheese, onions, tomatoes and mayonnaise",
food,Food,,"Lake Victoria Fish Burger 47 English-style, crumbed tilapia fillet topped with slices of tomatoes, onion rings, lettuce and homemade Thousand Island dressing",
food,Food,,"English-style, crumbed tilapia fillet topped with slices of tomatoes, onion rings, lettuce and homemade Thousand Island dressing",
food,Food,,"Vegetable Burger (V) 43 Carefully selected, organic vegetables combined with French, caramelised onions",
food,Food,,"Carefully selected, organic vegetables combined with French, caramelised onions",
food,Food,,"Gourmet Italian Burger 55 A deliciously rich and flavourful blend of lean, ground beef and pork, grilled to perfection and topped with melted mozzarella cheese, fresh basil and our homemade, marinara sauce",
food,Food,,"A deliciously rich and flavourful blend of lean, ground beef and pork, grilled to perfection and topped with melted mozzarella cheese, fresh basil and our homemade, marinara sauce",
food,Food,,"Additions Bacon and free-range eggs - 8, Bacon - 6, Free-range eggs - 4",
